diagnostic,specialty
"Osteoporosis en enfermedades clasificadas en otra parte,(trastornos de la densidad y de la estructura ósea )",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Dientes incluidos e impactados,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Luxacion de la articulacion del hombro,TRAUMATOLOGIA
"Trastorno de los discos intervertebrales, no especificado",TRAUMATOLOGIA
HERNIAS DEL NUCLEO PULPOSO,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
"Sinovitis y tenosinovitis,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Falta de consolidacion de fractura seudoartrosis,TRAUMATOLOGIA
Fractura de otros huesos metacarpianos,TRAUMATOLOGIA
Deformaciones congenitas de la cadera,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Gonartrosis postraumatica, bilateral",TRAUMATOLOGIA
Anomalías dentofaciales (incluso la maloclusión),TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
QUISTE SINOVIAL EN EL PIE,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Polineuropatia alcoholica,TRAUMATOLOGIA
HERNIAS DEL NUCLEO PULPOSO,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Tumor de comportamiento incierto o desconocido del hueso y cartilago articular,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Mononeuropatia, no especificada",TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
DORSALGIA,TRAUMATOLOGIA
"Calcificacion y osificacion del musculo, no especificada",TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Luxacion congenita de la cadera, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
GONALGIA,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
GONALGIA BILATERAL,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
DISYUNCION COSTOCONDRAL,TRAUMATOLOGIA
Otros desplazamientos especificados de disco intervertebral,TRAUMATOLOGIA
Contusion de otras partes de la muñeca y de la mano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
FRACTURA DE LA TIBIA,TRAUMATOLOGIA
"Deformidades adquiridas de los dedos del pie, no especificadas",TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Quiste sinovial del hueco popliteo de Baker,TRAUMATOLOGIA
"Luxación y subluxación patológica de la articulación, no clasificada en otra parte",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Lesiones del hombro,(otros trastornos de los tejidos blandos)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
DESGARRO LUMBAR SEVERO,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
"Espondilosis,(espondilopatias)",TRAUMATOLOGIA
"Trastornos de disco cervical, (otras dorsopatias)",TRAUMATOLOGIA
QUISTE SINOVIAL DEL CODO,TRAUMATOLOGIA
Herida de otras partes del antebrazo,TRAUMATOLOGIA
"Otras artrosis ,(artrosis)",TRAUMATOLOGIA
"Otras artrosis ,(artrosis)",TRAUMATOLOGIA
"Fractura de la pierna, inclusive el tobillo",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Tendinitis calcificante del hombro,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Infeccion de vias urinarias, sitio no especificado",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
"Trastorno de los discos intervertebrales, no especificado",TRAUMATOLOGIA
Lesión del nervio radial,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
LUMBAGO CRONICO,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
POLIARTRALGIAS,TRAUMATOLOGIA
Fractura a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
COXALGIA CRONICA,TRAUMATOLOGIA
Dientes incluidos,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
"Otras artrosis ,(artrosis)",TRAUMATOLOGIA
Chasquido de la cadera,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Herida de dedo(s) de la mano, sin daño de la(s) uña(s)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Traumatismo del tendón de Aquiles,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras hernias de la cavidad abdominal,TRAUMATOLOGIA
Deformaciones congenitas de la cadera,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Fractura a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Otros trastornos especificados de la sinovia y del tendon,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Fractura a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
"Otros trastornos de la sinovia y del tendon,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Otras lesiones del hombro,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Otros quistes oseos,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Fractura de otros huesos metacarpianos,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
ONICOMICOSIS DEL PIE,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
DOLOR ARTICULACION DEL DEDO,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Otra malformacion congenita de la columna vertebral, no asociada con escoliosis",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
"Trastorno de la rotula, no especificado",TRAUMATOLOGIA
Otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Espondilolistesis,TRAUMATOLOGIA
Otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte,TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
Resto Radicular,TRAUMATOLOGIA
"Dorsalgia, no especificada",TRAUMATOLOGIA
Otras lesiones del hombro,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Malformación congénita de la rodilla,TRAUMATOLOGIA
Luxación de la articulación acromioclavicular,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Coxartrosis, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Fractura del hombro y del brazo,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
Dientes incluidos,TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Tendinitis aquiliana,TRAUMATOLOGIA
Contractura muscular,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
Lesion del nervio plantar,TRAUMATOLOGIA
Escoliosis idiopatica juvenil,TRAUMATOLOGIA
Esguinces y torceduras de la articulacion del hombro,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Anomalías de la posición del diente,TRAUMATOLOGIA
Caries dental,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
DISPLASIA FIBROSA DE CRANEO,TRAUMATOLOGIA
Fractura del peroné solamente,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
Luxacion de la articulacion del hombro,TRAUMATOLOGIA
Pericoronaritis,TRAUMATOLOGIA
Craneosinostosis,TRAUMATOLOGIA
Traumatismo del tendon y musculo flexor de otro dedo a nivel de la muñeca y de la mano,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
"Luxaciones, torceduras y esguinces múltiples, no especificados",TRAUMATOLOGIA
Sindrome del manguito rotatorio,TRAUMATOLOGIA
Resto Radicular,TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Examen de seguimiento consecutivo a tratamiento de fractura,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
Otros quistes de la bolsa serosa,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
Tenosinovitis de estiloides radial de Quervain,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras bursitis del codo,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
Otras lesiones del hombro,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
"Otros trastornos de la sinovia y del tendon,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Examen odontológico,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
CONSULTA NO ESPECIFICADA,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Fractura del maleolo externo,TRAUMATOLOGIA
"Coxartrosis, no especificada",TRAUMATOLOGIA
Luxacion de la articulacion del hombro,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
"Trastornos de disco lumbar y otros, con radiculopatia",TRAUMATOLOGIA
"Deformidad en varo, no clasificada en otra parte",TRAUMATOLOGIA
Lumbago con ciática,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Espolon calcaneo,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras osteocondropatias especificadas,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Otros trastornos de la sinovia y del tendon,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Otros examenes especiales e investigaciones en personas sin quejas o sin diagnosticos informados,TRAUMATOLOGIA
Nodulos de Schmorl,TRAUMATOLOGIA
Aumento anormal de peso,TRAUMATOLOGIA
"Sinovitis y tenosinovitis, no especificada",TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
"Otras artrosis ,(artrosis)",TRAUMATOLOGIA
Inestabilidad cronica de la rodilla,TRAUMATOLOGIA
Contusion del tobillo,TRAUMATOLOGIA
Fractura de la epifisis superior del cubito,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
"Deformidad congenita de la cadera, no especificada",TRAUMATOLOGIA
Fractura de region no especificada del cuerpo,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
Luxacion y subluxacion recidivante de la articulacion,TRAUMATOLOGIA
"Escoliosis,(dorsopatias deformantes)",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Deformaciones congenitas de la cadera,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otras degeneraciones de disco cervical,TRAUMATOLOGIA
Trastornos rotulo femorales,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Trastorno de menisco debido a desgarro o lesion antigua,TRAUMATOLOGIA
Contusion de la rodilla,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
Quiste sinovial del hueco popliteo de Baker,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
Otras atenciones medicas especificadas,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otras bursitis de la rodilla,TRAUMATOLOGIA
Síndrome del túnel carpiano,TRAUMATOLOGIA
Escoliosis idiopatica juvenil,TRAUMATOLOGIA
Otros examenes generales,TRAUMATOLOGIA
DOLOR DEL CODO,TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Epicondilitis media,TRAUMATOLOGIA
Esguince y torcedura de la muñeca,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Otros desgarros (no traumaticos) del musculo,TRAUMATOLOGIA
Otros examenes especiales especificados,TRAUMATOLOGIA
Otras deformidades valgus congenitas de los pies,TRAUMATOLOGIA
Otras deformidades valgus congenitas de los pies,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Esguinces y torceduras del tobillo,TRAUMATOLOGIA
Mordida Cruzada,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Sinovitis y tenosinovitis, no especificada",TRAUMATOLOGIA
CONTRACTURA GEMELAR,TRAUMATOLOGIA
Quiste sinovial del hueco popliteo de Baker,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Luxacion congenita de la cadera, bilateral",TRAUMATOLOGIA
Epicondilitis lateral,TRAUMATOLOGIA
Espondilolistesis,TRAUMATOLOGIA
"Otros trastornos de los musculos,(trastornos de los musculos)",TRAUMATOLOGIA
Esguinces y torceduras de otras partes y de las no especificadas de la muñeca y de la mano,TRAUMATOLOGIA
"Escoliosis, no especificada",TRAUMATOLOGIA
"Coxartrosis (artrosis de la cadera) , (artrosis)",TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Resto Radicular,TRAUMATOLOGIA
Anomalías de la posición del diente,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Observacion y evaluacion medica por sospecha de enfermedades y afecciones,TRAUMATOLOGIA
Neuropatia intercostal,TRAUMATOLOGIA
Luxación de dedos de la mano,TRAUMATOLOGIA
"Trastornos de los tendones y de la sinovia en enfermedades clasificadas en otra parte,(trastornos de los tendones y de la sinovia)",TRAUMATOLOGIA
Cervicalgia,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
"Hipertrofia sinovial, no clasificada en otra parte",TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Lumbago no especificado,TRAUMATOLOGIA
"Fractura del antebrazo, parte no especificada",TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
Fractura de otro dedo de la mano,TRAUMATOLOGIA
Cervicalgia,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
Herida de la muñeca y de la mano,TRAUMATOLOGIA
Otras entesopatias del pie,TRAUMATOLOGIA
Otros trastornos sinoviales y tendinosos en enfermedades clasificadas en otra parte,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
"Otras artrosis ,(artrosis)",TRAUMATOLOGIA
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Otros trastornos de los meniscos,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Examen medico general,TRAUMATOLOGIA
Traumatismo por aplastamiento del codo,TRAUMATOLOGIA
Subluxacion recidivante de la rotula,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
Dolor en articulacion,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
Otros trastornos del desarrollo y crecimiento oseo,TRAUMATOLOGIA
Pie plano pes planus (adquirido),TRAUMATOLOGIA
Otras formas de escoliosis,TRAUMATOLOGIA
Otras contracturas de tendon (vaina),TRAUMATOLOGIA
HOMBRO DOLOROSO,TRAUMATOLOGIA
Otras deformidades congenitas de la cadera (Displasia de caderas Anteversion del Cuello Femoral Coxa Congenita: Vara o Valga),TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Dientes supernumerarios,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Anomalías de la posición del diente,TRAUMATOLOGIA
Fractura de la diafisis del humero,TRAUMATOLOGIA
Sindrome de abduccion dolorosa del hombro,TRAUMATOLOGIA
"Deformidad en valgo, no clasificada en otra parte",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
"Deformidad congenita de los pies, no especificada",TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Otra atencion medica,TRAUMATOLOGIA
Esguinces y torceduras de la columna cervical,TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Observacion por sospecha de otras enfermedades y afecciones,TRAUMATOLOGIA
Pie plano congenito,TRAUMATOLOGIA
"Trastorno interno de la rodilla, no especificado",TRAUMATOLOGIA
"Consulta, no especificada",TRAUMATOLOGIA
Otras deformidades del hallux (adquiridas),TRAUMATOLOGIA
Luxacion de la cadera,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Observacion por sospecha de enfermedad o afeccion no especificada,TRAUMATOLOGIA
Consulta no Especificada,TRAUMATOLOGIA
Hallux valgus (adquirido),TRAUMATOLOGIA
"Artrosis, no especificada",TRAUMATOLOGIA
PIE EQUINO,TRAUMATOLOGIA
Sindrome del tunel carpiano,TRAUMATOLOGIA
Luxacion de la articulacion del hombro,TRAUMATOLOGIA
"Trastorno sinovial y tendinoso, no especificado",TRAUMATOLOGIA
"Gonartrosis (artrosis de la rodilla) , (artrosis)",TRAUMATOLOGIA
Lumbago con ciatica,TRAUMATOLOGIA
Otros traumatismos superficiales del hombro y del brazo,TRAUMATOLOGIA
Dedo en gatillo,TRAUMATOLOGIA
Pseudocoxalgia,TRAUMATOLOGIA
Bursitis del trocanter,TRAUMATOLOGIA
